date,bitcoin,isPartial
2015-01-01,51,False
2015-01-02,51,False
2015-01-03,57,False
2015-01-04,69,False
2015-01-05,68,False
2015-01-06,74,False
2015-01-07,55,False
2015-01-08,61,False
2015-01-09,57,False
2015-01-10,55,False
2015-01-11,52,False
2015-01-12,47,False
2015-01-13,65,False
2015-01-14,100,False
2015-01-15,85,False
2015-01-16,71,False
2015-01-17,58,False
2015-01-18,55,False
2015-01-19,50,False
2015-01-20,53,False
2015-01-21,61,False
2015-01-22,54,False
2015-01-23,54,False
2015-01-24,53,False
2015-01-25,57,False
2015-01-26,83,False
2015-01-27,64,False
2015-01-28,62,False
2015-01-29,60,False
2015-01-30,52,False
2015-01-31,48,False
2015-02-01,56,False
2015-02-02,52,False
2015-02-03,59,False
2015-02-04,52,False
2015-02-05,58,False
2015-02-06,58,False
2015-02-07,71,False
2015-02-08,64,False
2015-02-09,71,False
2015-02-10,68,False
2015-02-11,57,False
2015-02-12,64,False
2015-02-13,54,False
2015-02-14,57,False
2015-02-15,58,False
2015-02-16,60,False
2015-02-17,60,False
2015-02-18,56,False
2015-02-19,61,False
2015-02-20,100,False
2015-02-21,63,False
2015-02-22,59,False
2015-02-23,59,False
2015-02-24,54,False
2015-02-25,52,False
2015-02-26,50,False
2015-02-27,53,False
2015-02-28,50,False
2015-03-01,77,False
2015-03-02,83,False
2015-03-03,83,False
2015-03-04,83,False
2015-03-05,83,False
2015-03-06,99,False
2015-03-07,100,False
2015-03-08,85,False
2015-03-09,84,False
2015-03-10,98,False
2015-03-11,95,False
2015-03-12,83,False
2015-03-13,84,False
2015-03-14,83,False
2015-03-15,82,False
2015-03-16,86,False
2015-03-17,84,False
2015-03-18,96,False
2015-03-19,96,False
2015-03-20,79,False
2015-03-21,74,False
2015-03-22,76,False
2015-03-23,78,False
2015-03-24,79,False
2015-03-25,90,False
2015-03-26,82,False
2015-03-27,72,False
2015-03-28,68,False
2015-03-29,74,False
2015-03-30,93,False
2015-03-31,82,False
2015-04-01,98,False
2015-04-02,88,False
2015-04-03,89,False
2015-04-04,89,False
2015-04-05,93,False
2015-04-06,88,False
2015-04-07,92,False
2015-04-08,98,False
2015-04-09,96,False
2015-04-10,92,False
2015-04-11,85,False
2015-04-12,84,False
2015-04-13,92,False
2015-04-14,95,False
2015-04-15,87,False
2015-04-16,83,False
2015-04-17,85,False
2015-04-18,84,False
2015-04-19,89,False
2015-04-20,87,False
2015-04-21,94,False
2015-04-22,100,False
2015-04-23,86,False
2015-04-24,86,False
2015-04-25,83,False
2015-04-26,82,False
2015-04-27,86,False
2015-04-28,86,False
2015-04-29,86,False
2015-04-30,92,False
2015-05-01,75,False
2015-05-02,68,False
2015-05-03,72,False
2015-05-04,68,False
2015-05-05,70,False
2015-05-06,79,False
2015-05-07,73,False
2015-05-08,76,False
2015-05-09,66,False
2015-05-10,67,False
2015-05-11,73,False
2015-05-12,73,False
2015-05-13,77,False
2015-05-14,100,False
2015-05-15,76,False
2015-05-16,74,False
2015-05-17,75,False
2015-05-18,73,False
2015-05-19,80,False
2015-05-20,88,False
2015-05-21,83,False
2015-05-22,76,False
2015-05-23,73,False
2015-05-24,78,False
2015-05-25,81,False
2015-05-26,77,False
2015-05-27,78,False
2015-05-28,67,False
2015-05-29,81,False
2015-05-30,96,False
2015-05-31,86,False
2015-06-01,52,False
2015-06-02,47,False
2015-06-03,50,False
2015-06-04,48,False
2015-06-05,45,False
2015-06-06,48,False
2015-06-07,49,False
2015-06-08,44,False
2015-06-09,47,False
2015-06-10,46,False
2015-06-11,45,False
2015-06-12,48,False
2015-06-13,40,False
2015-06-14,46,False
2015-06-15,47,False
2015-06-16,50,False
2015-06-17,55,False
2015-06-18,100,False
