date,bitcoin,isPartial
2015-01-04,65,False
2015-01-11,71,False
2015-01-18,54,False
2015-01-25,64,False
2015-02-01,50,False
2015-02-08,58,False
2015-02-15,59,False
2015-02-22,47,False
2015-03-01,56,False
2015-03-08,57,False
2015-03-15,54,False
2015-03-22,48,False
2015-03-29,49,False
2015-04-05,47,False
2015-04-12,43,False
2015-04-19,43,False
2015-04-26,40,False
2015-05-03,38,False
2015-05-10,43,False
2015-05-17,45,False
2015-05-24,47,False
2015-05-31,42,False
2015-06-07,40,False
2015-06-14,55,False
2015-06-21,46,False
2015-06-28,57,False
2015-07-05,60,False
2015-07-12,56,False
2015-07-19,46,False
2015-07-26,55,False
2015-08-02,52,False
2015-08-09,48,False
2015-08-16,54,False
2015-08-23,58,False
2015-08-30,43,False
2015-09-06,46,False
2015-09-13,47,False
2015-09-20,46,False
2015-09-27,44,False
2015-10-04,41,False
2015-10-11,41,False
2015-10-18,52,False
2015-10-25,63,False
2015-11-01,100,False
2015-11-08,69,False
2015-11-15,59,False
2015-11-22,55,False
2015-11-29,60,False
2015-12-06,90,False
2015-12-13,72,False
2015-12-20,64,False
2015-12-27,60,False
2016-01-03,54,False
2016-01-10,56,False
2016-01-17,60,False
2016-01-24,51,False
2016-01-31,46,False
2016-02-07,49,False
2016-02-14,57,False
2016-02-21,52,False
2016-02-28,51,False
2016-03-06,49,False
2016-03-13,48,False
2016-03-20,45,False
2016-03-27,46,False
2016-04-03,46,False
2016-04-10,45,False
2016-04-17,47,False
2016-04-24,53,False
2016-05-01,81,False
2016-05-08,53,False
2016-05-15,48,False
2016-05-22,51,False
2016-05-29,65,False
2016-06-05,61,False
2016-06-12,93,False
2016-06-19,87,False
2016-06-26,69,False
2016-07-03,66,False
2016-07-10,59,False
2016-07-17,51,False
2016-07-24,55,False
2016-07-31,70,False
2016-08-07,53,False
2016-08-14,47,False
2016-08-21,48,False
2016-08-28,48,False
2016-09-04,54,False
2016-09-11,52,False
2016-09-18,52,False
2016-09-25,50,False
2016-10-02,52,False
2016-10-09,53,False
2016-10-16,54,False
2016-10-23,66,False
2016-10-30,68,False
2016-11-06,67,False
2016-11-13,70,False
2016-11-20,65,False
2016-11-27,71,False
2016-12-04,67,False
2016-12-11,67,False
2016-12-18,86,False
2016-12-25,100,False
2017-01-01,7,False
2017-01-08,6,False
2017-01-15,4,False
2017-01-22,4,False
2017-01-29,4,False
2017-02-05,5,False
2017-02-12,4,False
2017-02-19,5,False
2017-02-26,6,False
2017-03-05,7,False
2017-03-12,5,False
2017-03-19,5,False
2017-03-26,5,False
2017-04-02,5,False
2017-04-09,5,False
2017-04-16,5,False
2017-04-23,5,False
2017-04-30,7,False
2017-05-07,10,False
2017-05-14,11,False
2017-05-21,20,False
2017-05-28,12,False
2017-06-04,12,False
2017-06-11,13,False
2017-06-18,11,False
2017-06-25,11,False
2017-07-02,9,False
2017-07-09,10,False
2017-07-16,12,False
2017-07-23,10,False
2017-07-30,16,False
2017-08-06,14,False
2017-08-13,19,False
2017-08-20,16,False
2017-08-27,17,False
2017-09-03,18,False
2017-09-10,20,False
2017-09-17,16,False
2017-09-24,13,False
2017-10-01,12,False
2017-10-08,19,False
2017-10-15,19,False
2017-10-22,20,False
2017-10-29,27,False
2017-11-05,28,False
2017-11-12,31,False
2017-11-19,28,False
2017-11-26,63,False
2017-12-03,87,False
2017-12-10,88,False
2017-12-17,100,False
2017-12-24,63,False
2017-12-31,44,False
2018-01-07,81,False
2018-01-14,100,False
2018-01-21,68,False
2018-01-28,71,False
2018-02-04,85,False
2018-02-11,49,False
2018-02-18,44,False
2018-02-25,35,False
2018-03-04,35,False
2018-03-11,35,False
2018-03-18,33,False
2018-03-25,32,False
2018-04-01,32,False
2018-04-08,27,False
2018-04-15,26,False
2018-04-22,26,False
2018-04-29,23,False
2018-05-06,23,False
2018-05-13,20,False
2018-05-20,20,False
2018-05-27,19,False
2018-06-03,17,False
2018-06-10,22,False
2018-06-17,18,False
2018-06-24,19,False
2018-07-01,17,False
2018-07-08,16,False
2018-07-15,20,False
2018-07-22,22,False
2018-07-29,18,False
2018-08-05,20,False
2018-08-12,20,False
2018-08-19,18,False
2018-08-26,18,False
2018-09-02,19,False
2018-09-09,18,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,14,False
2018-10-07,15,False
2018-10-14,14,False
2018-10-21,13,False
2018-10-28,14,False
2018-11-04,14,False
2018-11-11,18,False
2018-11-18,24,False
2018-11-25,26,False
2018-12-02,21,False
2018-12-09,19,False
2018-12-16,21,False
2018-12-23,18,False
2018-12-30,16,False
2019-01-06,36,False
2019-01-13,31,False
2019-01-20,29,False
2019-01-27,29,False
2019-02-03,32,False
2019-02-10,28,False
2019-02-17,33,False
2019-02-24,31,False
2019-03-03,29,False
2019-03-10,28,False
2019-03-17,28,False
2019-03-24,27,False
2019-03-31,48,False
2019-04-07,40,False
2019-04-14,36,False
2019-04-21,37,False
2019-04-28,35,False
2019-05-05,46,False
2019-05-12,75,False
2019-05-19,57,False
2019-05-26,58,False
2019-06-02,49,False
2019-06-09,45,False
2019-06-16,65,False
2019-06-23,100,False
2019-06-30,69,False
2019-07-07,65,False
2019-07-14,64,False
2019-07-21,53,False
2019-07-28,47,False
2019-08-04,59,False
2019-08-11,51,False
2019-08-18,45,False
2019-08-25,43,False
2019-09-01,44,False
2019-09-08,39,False
2019-09-15,36,False
2019-09-22,51,False
2019-09-29,40,False
2019-10-06,38,False
2019-10-13,35,False
2019-10-20,42,False
2019-10-27,42,False
2019-11-03,35,False
2019-11-10,33,False
2019-11-17,39,False
2019-11-24,40,False
2019-12-01,37,False
2019-12-08,34,False
2019-12-15,35,False
2019-12-22,33,False
2019-12-29,31,False
2020-01-05,25,False
2020-01-12,26,False
2020-01-19,23,False
2020-01-26,25,False
2020-02-02,26,False
2020-02-09,31,False
2020-02-16,26,False
2020-02-23,27,False
2020-03-01,24,False
2020-03-08,45,False
2020-03-15,48,False
2020-03-22,35,False
2020-03-29,30,False
2020-04-05,34,False
2020-04-12,29,False
2020-04-19,31,False
2020-04-26,39,False
2020-05-03,43,False
2020-05-10,49,False
2020-05-17,33,False
2020-05-24,31,False
2020-05-31,31,False
2020-06-07,28,False
2020-06-14,26,False
2020-06-21,24,False
2020-06-28,24,False
2020-07-05,23,False
2020-07-12,27,False
2020-07-19,24,False
2020-07-26,39,False
2020-08-02,35,False
2020-08-09,32,False
2020-08-16,31,False
2020-08-23,27,False
2020-08-30,28,False
2020-09-06,27,False
2020-09-13,24,False
2020-09-20,21,False
2020-09-27,21,False
2020-10-04,21,False
2020-10-11,22,False
2020-10-18,31,False
2020-10-25,32,False
2020-11-01,33,False
2020-11-08,37,False
2020-11-15,52,False
2020-11-22,57,False
2020-11-29,50,False
2020-12-06,41,False
2020-12-13,66,False
2020-12-20,66,False
2020-12-27,100,False
2021-01-03,83,False
2021-01-10,82,False
2021-01-17,54,False
2021-01-24,49,False
2021-01-31,44,False
2021-02-07,78,False
2021-02-14,74,False
2021-02-21,81,False
2021-02-28,54,False
2021-03-07,52,False
2021-03-14,51,False
2021-03-21,46,False
2021-03-28,44,False
2021-04-04,41,False
2021-04-11,52,False
2021-04-18,69,False
2021-04-25,54,False
2021-05-02,44,False
2021-05-09,58,False
2021-05-16,100,False
2021-05-23,70,False
2021-05-30,50,False
2021-06-06,52,False
2021-06-13,40,False
2021-06-20,49,False
2021-06-27,36,False
2021-07-04,30,False
2021-07-11,30,False
2021-07-18,34,False
2021-07-25,39,False
2021-08-01,31,False
2021-08-08,36,False
2021-08-15,30,False
2021-08-22,32,False
2021-08-29,28,False
2021-09-05,38,False
2021-09-12,27,False
2021-09-19,35,False
2021-09-26,28,False
2021-10-03,34,False
2021-10-10,37,False
2021-10-17,45,False
2021-10-24,37,False
2021-10-31,32,False
2021-11-07,36,False
2021-11-14,37,False
2021-11-21,35,False
2021-11-28,36,False
2021-12-05,40,False
2021-12-12,35,False
2021-12-19,32,False
2021-12-26,31,False
2022-01-02,59,False
2022-01-09,59,False
2022-01-16,61,False
2022-01-23,79,False
2022-01-30,58,False
2022-02-06,55,False
2022-02-13,47,False
2022-02-20,60,False
2022-02-27,56,False
2022-03-06,48,False
2022-03-13,42,False
2022-03-20,42,False
2022-03-27,45,False
2022-04-03,39,False
2022-04-10,37,False
2022-04-17,34,False
2022-04-24,35,False
2022-05-01,37,False
2022-05-08,84,False
2022-05-15,53,False
2022-05-22,45,False
2022-05-29,39,False
2022-06-05,38,False
2022-06-12,100,False
2022-06-19,74,False
2022-06-26,54,False
2022-07-03,49,False
2022-07-10,45,False
2022-07-17,47,False
2022-07-24,42,False
2022-07-31,36,False
2022-08-07,35,False
2022-08-14,32,False
2022-08-21,33,False
2022-08-28,33,False
2022-09-04,33,False
2022-09-11,34,True
